listing_id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,last_review,reviews_per_month,calculated_host_listings_count,availability_365
340452,"Bright, unique and very central flat",1727489,Roland,Hillside and Calton Hill,55.95858352,-3.18029809,Entire home/apt,80,2,05/11/2018,5.02,1,132
350267, Gattopardo Edinburgh Holiday House,1775021,Gino,Broughton North and Powderhall,55.96334055,-3.191582595,Entire home/apt,90,2,27/08/2018,1.18,4,329
352432,Edinburgh Garden Apartment,1784753,Pamela,Deans Village,55.94927657,-3.221556583,Entire home/apt,150,3,04/09/2018,0.9,3,353
355938,Parliament Square - Royal Mile,1801836,Shahid,"Old Town, Princes Street and Leith Street",55.94997598,-3.188884044,Entire home/apt,150,2,15/10/2018,1.39,3,222
356028,"APARTMENT 2 bed, family friendly & FREE parking",1802110,Deanna,Bonnington,55.97228281,-3.18703968,Entire home/apt,79,3,25/08/2018,0.35,2,20
356052,"Mia Apartment, Edinburgh City ",1775021,Gino,Broughton South,55.96539058,-3.186453578,Entire home/apt,85,2,30/08/2016,0.29,4,0
361050,Large room in disabled friendly flat - Bruntsfield,1825119,Anne,Bruntsfield,55.93930475,-3.209324152,Private room,50,2,14/11/2018,0.68,1,282
362653,"Papermill Wynd Chiara Apartment,",1775021,Gino,Pilrig,55.9654837,-3.184850996,Entire home/apt,85,2,27/05/2017,0.55,4,78
363392,Victorian flat in Bruntsfield,1836296,Mary,Merchiston and Greenhill,55.93450531,-3.216363895,Entire home/apt,100,3,27/07/2018,0.38,1,135
363642,Wonderful/beautiful room Edinburgh ,1837147,Wendy,Comiston and Swanston,55.90922803,-3.213679849,Private room,44,1,18/11/2018,0.81,1,357
368502,Edinburgh Old town Blair st hol/let,903813,Tony And Jayne,"Old Town, Princes Street and Leith Street",55.94879255,-3.186764519,Entire home/apt,85,4,17/09/2018,1.12,5,219
374301,Meadows Apartment B (castle view),1602978,Duncan,Marchmont West,55.93816597,-3.198722821,Entire home/apt,120,2,27/08/2018,0.52,3,69
376937,"Dario Apartment, Edinburgh",1775021,Gino,Broughton South,55.96508285,-3.185691733,Entire home/apt,85,2,20/09/2018,0.93,4,277
389318,"City centre. Walk to Castle, Museum etc. Own bath.",1947854,Rona,Meadows and Southside,55.94212882,-3.181185189,Private room,44,2,15/11/2018,4.2,1,175
391558,"City centre, One Bedroom, Main door.",1958301,Joanne,"Old Town, Princes Street and Leith Street",55.95739503,-3.186732739,Entire home/apt,85,3,20/09/2018,0.14,1,348
391610,"Warm, peaceful double room with private showerroom",1958560,Alejandro & Harriet,Shandon,55.93241435,-3.231519109,Private room,35,2,03/11/2018,4.41,2,4
391611,"Warm, peaceful, sunny twin/double/triple room",1958560,Alejandro & Harriet,Shandon,55.93166109,-3.231409411,Private room,40,3,10/04/2018,2.2,2,0
